Date,deuda_pib,pb_pib,PIB_real,TCRM,EMBI,VIX,CER,es_interpolado,g_gap
2021-12-31,80.0,-1.1,143.4988382122337,1.4992487217740846,1711.8030303030305,19.274375021457672,36.90696913870465,0,0.31990435438943593
2022-03-31,81.0,-0.8,143.8061086438699,1.472410247855901,1809.571428571429,25.37290327010616,40.68933823441508,0,0.17941548899101847
2022-06-30,79.0,-0.9,161.2686298562478,1.4094702604334537,1927.75,27.353709836159982,47.14545870401275,0,11.930797887194885
2022-09-30,78.0,-1.0,151.02849201906795,1.3139509160373948,2520.630769230769,24.73125004768372,55.80928604450244,0,4.433757970111099
2022-12-31,81.0,-1.7,146.9218991430627,1.308457406668821,2443.1774193548385,25.07539691622295,67.61642399979618,0,1.2160688859171482
2023-03-31,82.0,-1.5,145.12203330954205,1.365424751505144,2080.6769230769232,20.6945161819458,79.50120629337694,0,-0.39561578008480314
2023-06-30,81.0,-1.8,152.15528569731546,1.3525589529529698,2465.476923076923,16.46112900395547,96.83701011281364,0,4.043489979860642
2023-09-30,82.0,-2.0,150.1792281599422,1.4513685569389796,2104.222222222222,15.05301583002484,119.81519975925497,0,2.3108098192436985
2023-12-31,90.0,-2.9,144.40759753971057,1.4338262999715743,2257.753846153846,15.325714308118064,159.44044829703435,0,-1.9887287104985214
2024-03-31,84.0,1.5,137.7445269556697,1.7068957611045297,1786.876923076923,13.703770512440164,247.1816426253152,0,-6.865916165680389
2024-06-30,79.0,1.8,150.46104016786242,1.3502703293874927,1340.123076923077,14.029841180831667,371.0421489790293,0,1.3373920495928455
2024-09-30,77.0,1.6,147.24321666576756,1.2573995976340693,1484.5454545454545,17.165468707680702,441.8397207554119,0,-1.2213432835881095
2024-12-31,75.0,1.4,148.32009548265816,1.1827917666524113,870.3636363636364,17.41734381020069,494.779871757916,0,-0.8974612995213247
2025-03-31,73.0,1.2,146.17046254240884,1.1618868343319555,684.0,18.62633349100749,534.9996370253142,0,-2.7289890545676876
2025-06-30,72.0,1.0,160.26761546320884,1.215415273291191,726.7049180327868,23.632096875098444,579.8877130502385,0,6.218515183140242
2025-09-30,71.0,0.9,151.95052122912105,1.3770671830986991,862.34375,15.957499966025352,617.0823839261813,0,0.2987815478681398
2025-12-31,70.0,0.8,151.55206696736855,1.39466796873747,745.030303030303,17.75359381735325,654.2899202595012,0,-0.36717434425765466
